Year,Month,FAH,FAFH,Total nominal food sales,FAH,FAFH,Total constant dollar food sales
2021,December,90032.96,83967.57,174000.53,39244.32,32233.26,71654.88
2021,November,82633.36,79112.24,161745.59,36177.24,30551.44,66948.58
2021,October,81702.69,83819.18,165521.86,35891.87,32564.14,68825.48
2021,September,77365.31,80317.72,157683.03,34346.52,31464.28,66194.66
2021,August,79855.82,84015.32,163871.14,35843.79,33089.42,69376.72
2021,July,79870.68,86513.69,166384.38,35961.6,34218.65,70696.02
2021,June,77678.75,82098.06,159776.81,35193.45,32725.96,68360.66
2021,May,79202.1,81567.6,160769.7,36149.88,32745.18,69285.66
2021,April,75029.05,75817.85,150846.89,34346.82,30604.56,65276.4
2021,March,77285.47,73221.19,150506.66,35593.39,29646.96,65435.39
2021,February,67068.04,57736.95,124804.99,30950.75,23405.22,54350.92
2021,January,73211.92,60187.43,133399.36,33867.66,24411.42,58184.79
2020,December,80446.2,59478.1,139924.3,37340.71,24205.36,61237.57
2020,November,74369.72,58292.62,132662.34,34636.75,23811.65,58265.25
2020,October,73721.54,64735.28,138456.81,34126.21,26475.26,60639.12
2020,September,70391.77,61989.29,132381.06,32658.27,25421.5,58121.41
2020,August,73410.99,63779.48,137190.47,33926.09,26300.97,60251.76
2020,July,74914.88,61896.27,136811.16,34591.84,25596.82,60133.44
2020,June,72075.36,58053.89,130129.25,32956.81,24120.64,57004.2
2020,May,75467.18,48636.03,124103.21,34672.45,20312.06,54634
2020,April,69951.72,35716.41,105668.13,32407.33,14971.17,46811.64
2020,March,80197.89,54315.55,134513.44,38146.78,22800.28,60508.72
2020,February,63667.66,68364.01,132031.67,30421.06,28740.23,59581.03
2020,January,65927.4,67764.94,133692.33,31622.41,28551.5,60519.7
2019,December,74876.22,73010.26,147886.47,36115.97,30874.2,67263.03
2019,November,70014.52,69865.67,139880.2,33773.62,29628.71,63708.84
2019,October,67665.57,72372.41,140037.97,32557.23,30741.04,63740.17
2019,September,64398.03,70282.41,134680.44,31086.8,29909.78,61464.73
2019,August,69526.13,76211.56,145737.69,33616.09,32516.62,66648.16
2019,July,68341.61,75034.92,143376.53,33014.78,32083.51,65602.9
2019,June,66937.57,74846.09,141783.66,32329.78,32067.24,64926.86
2019,May,69200.6,76053.3,145253.89,33320.68,32690.26,66504.13
2019,April,65138.13,71371.07,136509.2,31399.04,30742.22,62597.88
2019,March,66432.76,73945.92,140378.67,31933.64,31954.19,64368.27
2019,February,59087.55,64274.3,123361.84,28461.28,27825.58,56675.89
2019,January,64255.12,64618.79,128873.91,31037.13,28073.9,59394.17
2018,December,73034.62,70102.19,143136.81,35482.65,30561.16,66279.51
2018,November,67857.54,65853.47,133711.02,33055.36,28823.95,62117.15
2018,October,65523.43,68512.75,134036.17,31848.04,30073.81,62273.35
2018,September,63264.76,66787.08,130051.84,30719.32,29343.47,60413.91
2018,August,66567.95,72188.25,138756.2,32338.34,31786.62,64537.58
2018,July,65507.8,71627.65,137135.45,31849.51,31599.62,63866.95
2018,June,65210.96,71633.62,136844.58,31793.31,31638.64,63861.09
2018,May,66929.48,71758.64,138688.13,32613.98,31751.52,64755.42
2018,April,61813.55,67111.19,128924.74,30015.85,29793.97,60170.38
2018,March,66457.79,69974.94,136432.72,32402.54,31140.06,63886.11
2018,February,58681.43,60861.97,119543.41,28607.7,27113.91,56000.58
2018,January,61977.13,60883.8,122860.92,30134.54,27189.23,57533.02
2017,December,72844.1,68268.22,141112.33,35604.38,30594.24,66375.1
2017,November,65690.51,62302.86,127993.37,32131.94,27988.41,60292.41
2017,October,63128.81,64554.38,127683.19,30732.06,29052.57,60028.32
2017,September,62005.19,63530.94,125536.13,30237.38,28624.09,59106.16
2017,August,63704.24,65902.57,129606.8,31102.75,29784.12,61144.56
2017,July,63096.43,65974.39,129070.81,30791.34,29913.49,60959.59
2017,June,62579.08,65948.48,128527.56,30621.9,29949.09,60839.43
2017,May,63979.43,66977.02,130956.45,31219.24,30427.3,61899.15
2017,April,61627.47,65015.61,126643.08,30089.03,29588.93,59926.74
2017,March,62441.56,66468.44,128910.01,30557.01,30317.95,61139.97
2017,February,56710.33,58813.05,115523.38,27790.38,26869.49,54873.27
2017,January,59405.52,59204.12,118609.64,29177.33,27103.97,56463.83
2016,December,69480.82,64131.23,133612.05,34253.7,29467.83,63844.62
2016,November,62241.93,59594.66,121836.59,30623,27425.3,58189.18
2016,October,60927.93,61881.18,122809.11,29822.28,28503.4,58502.81
2016,September,58792.05,60318.38,119110.42,28778.86,27821.01,56776.55
2016,August,60865.67,62201.73,123067.4,29797.12,28738.79,58709.63
2016,July,61449.81,63165.53,124615.34,30067.52,29250.19,59487.7
2016,June,60634.31,61645.97,122280.27,29640.48,28603,58389.99
2016,May,61492.06,63558.45,125050.51,29943.71,29541.25,59621.73
2016,April,58446.15,62452,120898.15,28309.19,29088.5,57513.65
2016,March,60473.32,62087.83,122561.15,29328.78,28988.87,58407.05
2016,February,56238.73,57425.22,113663.95,27080.34,26869.77,53988.09
2016,January,58131.04,56085.47,114216.51,27997.48,26279.17,54287.42
2015,December,66774.75,60927.57,127702.32,32247.08,28642.75,60875.51
2015,November,60441.87,56284.73,116726.59,29085.52,26489.97,55553.09
2015,October,60013.26,59932.7,119945.97,28697.94,28255.24,56914.28
2015,September,57489.35,56747.39,114236.73,27531.21,26809.04,54296.81
2015,August,60454.03,59972.23,120426.26,29033.91,28485.41,57460.79
2015,July,61022.75,60136.36,121159.11,29399.42,28624.44,57966.82
2015,June,59093.79,58939.36,118033.15,28530.1,28061.53,56545.19
2015,May,61474.52,61929.29,123403.81,29739.27,29546.02,59236.46
2015,April,57710.69,58387.33,116098.02,27886.59,27921.71,55744.46
2015,March,59227.91,59273.36,118501.27,28587.49,28414.95,56915.96
2015,February,54321.12,52400.33,106721.45,26078.08,25159.05,51126.19
2015,January,57969.84,53892.42,111862.27,27806.23,25945.64,53619.82
2014,December,65812.87,57089.87,122902.74,31656.57,27529.95,59046.54
2014,November,60676.36,53632.88,114309.23,29293.48,25929.04,55093.54
2014,October,59493.93,56009.06,115502.98,28658.86,27173.71,55674.79
2014,September,56584.05,52987.22,109571.27,27319.01,25762.13,52931.3
2014,August,60253.85,56752.96,117006.81,29194.54,27678.03,56713.11
2014,July,59524.62,55454.28,114978.9,28949.95,27108.78,55908.35
2014,June,57951.14,54435.06,112386.2,28263.9,26692.37,54807.32
2014,May,60629.02,57207.17,117836.19,29525.52,28107.29,57460.85
2014,April,57043.25,53593.85,110637.09,27942.17,26376.2,54175.44
2014,March,57671.66,55196.05,112867.71,28383.87,27236.6,55483.58
2014,February,53035.07,48430.33,101465.4,26195.9,23964.81,50042.88
2014,January,56091.18,48676.1,104767.27,27793.41,24155.34,51830.58
2013,December,63302.68,52608.08,115910.76,31573.57,26125.4,57585.28
2013,November,58381.13,50906.14,109287.27,29137.82,25313.91,54346.77
2013,October,56421.3,51578.15,107999.45,28064.96,25712.84,53654.43
2013,September,53981.53,49267.54,103249.06,26893.24,24592.3,51369.8
2013,August,57794.86,53172.08,110966.94,28797.83,26565.55,55236.67
2013,July,56680.08,51944.75,108624.83,28291.02,25995.04,54163.22
2013,June,55947.45,51689.36,107636.8,27935.83,25908.92,53717.94
2013,May,57868.13,53288.49,111156.63,28918.92,26751.53,55536.95
2013,April,53344,50915.84,104259.84,26569.03,25603.18,52021.85
2013,March,57502.86,52986.48,110489.34,28677.77,26735.63,55248.88
2013,February,51757.94,46690.48,98448.41,25784.55,23605.62,49234.42
2013,January,53782.18,47020.94,100803.12,26769.56,23794.09,50403.48
2012,December,61937.14,50772.06,112709.21,31006.31,25730.1,56584.44
2012,November,56690.33,47719.14,104409.47,28454.24,24215.26,52527.88
2012,October,55094.57,48752.99,103847.56,27634.67,24770.43,52249.19
2012,September,53380.51,48001.2,101381.71,26872.71,24406.49,51134.81
2012,August,56293.34,50535.67,106829.02,28328.36,25749.78,53914.99
2012,July,54940.06,50107.31,105047.37,27696.09,25608.68,53135.18
2012,June,55044.8,50259.82,105304.62,27724.57,25740.49,53280.58
2012,May,56484.98,50628.23,107113.21,28450.39,25992.34,54247.7
2012,April,53619.26,48663.55,102282.8,26985.29,25043.67,51824.65
2012,March,55610.77,50531.62,106142.39,28028.13,26073.76,53882.34
2012,February,51941.73,45730.95,97672.69,26202.78,23643.97,49648.02
2012,January,51902.82,44479.08,96381.9,26125.98,23029.75,48954
2011,December,61125.62,47836.23,108961.84,30998.58,24856.33,55670.17
2011,November,54875.38,44345.39,99220.76,27902.78,23081.01,50805.55
2011,October,53505.4,46935.59,100440.99,27110.41,24490.82,51379.83
2011,September,51975.11,45944.22,97919.33,26387.92,24017.61,50186.35
2011,August,54083.53,47684.12,101767.65,27625.29,24982.89,52390.25
2011,July,54388.44,48581.91,102970.35,27960.39,25555.83,53296.84
2011,June,53371.36,47255.39,100626.76,27596.1,24909.94,52302.81
2011,May,54000.04,47971.76,101971.79,27949.87,25352.82,53091.59
2011,April,52999.77,46461.6,99461.38,27569.37,24599.22,51973.68
2011,March,52520.07,46640.66,99160.73,27417.75,24779.91,52000.52
2011,February,48136.21,41759.58,89895.8,25377.47,22251.91,47468.65
2011,January,50313.96,41484.68,91798.63,26672.82,22146.22,48666.3
2010,December,58467.3,44403.15,102870.45,31431.82,23751.51,55021.2
2010,November,52043.71,41761.49,93805.2,28031.72,22358.7,50247.39
2010,October,50721.57,44321.68,95043.25,27298.63,23752.52,50910.8
2010,September,48968.6,42473.92,91442.52,26419.79,22783.24,49071
2010,August,50549.91,44987.62,95537.53,27370.58,24200.94,51437.86
2010,July,51340.24,45749.57,97089.81,27813.65,24688.26,52361.88
2010,June,49919.34,44099.67,94019.01,27029.47,23788.61,50683.32
2010,May,51782.32,45261.19,97043.51,27980.69,24439.34,52276.55
2010,April,49297.82,43625.78,92923.6,26643.67,23587.33,50092.81
2010,March,50527.8,43630.9,94158.7,27321.29,23620.04,50801.73
2010,February,46676.11,39406.25,86082.36,25296.3,21324.55,46498.2
2010,January,48869.66,39786.7,88656.36,26448.2,21546.38,47867.57
2009,December,56690.68,42153.88,98844.56,30972.83,22841.44,53671.74
2009,November,50322.76,39869.2,90191.96,27562.29,21618.6,49057.3
2009,October,49934.01,42476.7,92410.71,27247.06,23074.6,50203.82
2009,September,47574.19,40840.97,88415.16,26004.47,22207.92,48101.27
2009,August,49917.09,43667.82,93584.91,27221.2,23779.84,50882.89
2009,July,50285.97,43968.37,94254.34,27410.01,23978.75,51268.8
2009,June,48991.4,43002.71,91994.12,26578.8,23471.05,49928.38
2009,May,50880.82,44676.2,95557.02,27570.11,24399.46,51841.61
2009,April,48054.28,41938.64,89992.93,25955.08,22916.15,48747.79
2009,March,47821.61,42449.43,90271.05,25672.21,23266.75,48800.46
2009,February,44755.43,38916.18,83671.61,23886.34,21353.54,45107.97
2009,January,48361,40349.52,88710.52,25652.68,22204.39,47722.16
2008,December,54793.91,42242.57,97036.48,29207.61,23312.38,52408.71
2008,November,50465.88,40800.11,91265.99,26852.57,22581.42,49304.72
2008,October,50201.24,43055.77,93257.01,26643.41,23911.26,50382.86
2008,September,48460.74,41749.18,90209.92,25842.35,23298.52,48969.93
2008,August,52058.73,45474.52,97533.26,27937.57,25513.18,53257.03
2008,July,51973.09,44698.6,96671.7,28083.62,25157.47,53061.92
2008,June,50621.2,43837.54,94458.74,27690,24829.18,52347.14
2008,May,52812.8,45588.77,98401.57,29068.69,25947.84,54837.94
2008,April,48207.6,42472.54,90680.14,26662.68,24274.92,50762.78
2008,March,50116.59,43094.29,93210.88,28072.5,24694.17,52607.38
2008,February,46894.37,40176.17,87070.55,26253.07,23094.33,49193.28
2008,January,48065.41,39635.89,87701.3,26954.83,22871.84,49679.81
2007,December,56382.51,43437.47,99819.98,32048.26,25166.41,57068.2
2007,November,50433.25,40574.22,91007.48,28732.71,23550.86,52137.7
2007,October,48079.38,42067.1,90146.48,27447.84,24485.74,51765.14
2007,September,46607.4,41154.22,87761.62,26757.48,24008.94,50605.93
2007,August,49105.68,43789.07,92894.74,28341.08,25675.62,53843.28
2007,July,48351.29,43351.31,91702.6,28006.42,25520.67,53352.21
2007,June,48365.14,43312.95,91678.09,28077.35,25621.78,53517.11
2007,May,49292.17,43020.97,92313.14,28703.29,25536.09,54061.41
2007,April,45949.05,40934.22,86883.27,26932.79,24357.69,51127.52
2007,March,47680.49,42569.43,90249.91,27982.7,25410.33,53219.18
2007,February,43205.65,37301.11,80506.77,25428.99,22284.18,47569.43
2007,January,45245.25,37877.84,83123.09,26834.4,22710.5,49408.84
2006,December,53515.86,42130.69,95646.55,32125.35,25381.09,57375.8
2006,November,47200.29,37971.41,85171.71,28332.91,22943.03,51144.14
2006,October,45621.2,39816.71,85437.91,27271.67,24117.46,51225.9
2006,September,44599.27,39478.44,84077.71,26797.21,23983.89,50641.61
2006,August,46831.28,41183.65,88014.92,28283.17,25057.2,53202.88
2006,July,46469.3,40887.14,87356.44,28136.7,24939.08,52940.24
2006,June,45939.68,40294.84,86234.52,27873.33,24639.61,52394.67
2006,May,46765.54,40467.46,87232.99,28418.3,24807.66,53083.21
2006,April,44482.33,39195.11,83677.44,27086.98,24112.98,51051.01
2006,March,44890.83,39818.13,84708.96,27221.81,24546.31,51600.42
2006,February,41060.54,35480.15,76540.7,24860.25,21917.02,46624.73
2006,January,42652.31,36351.43,79003.74,25717.2,22524.39,48100.29
2005,December,51339.06,39057.27,90396.33,31229.53,24275.9,55378.88
2005,November,45068.81,36063.37,81132.18,27515.96,22461.53,49832.62
2005,October,44440.44,37864.51,82304.95,27160.9,23632.26,50631.9
2005,September,43230.76,36790.69,80021.45,26532.97,23033.33,49407.18
2005,August,44261.61,38654.54,82916.14,27237.49,24250.46,51328.53
2005,July,44400.6,39292.33,83692.93,27280.01,24727.28,51836.54
2005,June,43476.72,37843.46,81320.18,26768.96,23864.96,50472.75
2005,May,43888.25,38100.13,81988.38,26894.73,24101.74,50834.09
2005,April,41920.41,37370.79,79291.2,25756.69,23701.85,49265.18
2005,March,43225.49,36607.77,79833.27,26798.78,23266.22,49890.51
2005,February,38780.89,33399.95,72180.84,24056.21,21260.52,45179.93
2005,January,40992.02,33469.16,74461.18,25306.86,21371.24,46533.31
