,Tract,County,Urban,Total_Population,Housing_Units,High_Share_Group,Total_Group_Quarters,Percent_Group_Quarters,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,Low_Income_Flag,Total_Poverty_Rate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,Total_Low_Income,Total_Kids,Total_Seniors,Total_White,Total_Black,Total_Asian,Total_NHOPI,Total_AIAN,Total_OMulti,Total_Hispanic,Total_No_Vehicle,Total_SNAP,Population_Size
0,36001000100,Albany County,1,2139,784,0,79.0,3.69,1,1,1,1,1,1,32.5,45515.0,1,1,1,1,1,0,0,1,2139.0,2139.0,2139.0,1246.0,1246.0,1246.0,2139.0,100.0,1246.0,58.26,644.0,30.11,218.0,10.19,506.0,23.66,1396.0,65.26,55.0,2.57,0.0,0.0,9.0,0.42,173.0,8.09,198.0,9.26,172.0,21.94,259.0,32.97,2139.0,100.0,1246.0,58.26,644.0,30.11,218.0,10.19,506.0,23.66,1396.0,65.26,55.0,2.57,0.0,0.0,9.0,0.42,173.0,8.09,198.0,9.26,172.0,21.94,259.0,32.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183.0,644.0,218.0,506.0,1396.0,55.0,0.0,9.0,173.0,198.0,179.0,276.0,Medium Population
1,36001000200,Albany County,1,6046,2514,0,84.0,1.39,1,1,1,1,1,1,34.4,39545.0,1,1,1,1,1,0,0,1,2981.0,5948.0,2981.0,2042.0,3389.0,2042.0,5948.0,98.38,3389.0,56.05,1917.0,31.71,398.0,6.58,815.0,13.47,4588.0,75.88,55.0,0.91,0.0,0.0,11.0,0.18,480.0,7.93,635.0,10.51,1070.0,42.58,1113.0,44.27,2981.0,49.31,2042.0,33.77,1068.0,17.66,195.0,3.23,394.0,6.52,2298.0,38.01,21.0,0.36,0.0,0.0,3.0,0.05,264.0,4.37,372.0,6.15,612.0,24.36,556.0,22.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501.0,1946.0,401.0,840.0,4647.0,57.0,0.0,12.0,490.0,648.0,895.0,960.0,Large Population
2,36001000300,Albany County,1,5888,2581,0,193.0,3.28,1,1,1,1,1,1,27.0,45384.0,1,1,1,1,1,0,0,1,1151.0,2847.0,1151.0,189.0,1013.0,189.0,2847.0,48.36,1013.0,17.2,496.0,8.42,583.0,9.89,1731.0,29.4,797.0,13.54,132.0,2.24,0.0,0.0,5.0,0.09,181.0,3.08,242.0,4.1,255.0,9.89,292.0,11.3,1151.0,19.55,189.0,3.21,103.0,1.75,325.0,5.52,886.0,15.05,152.0,2.58,80.0,1.36,0.0,0.0,1.0,0.02,32.0,0.54,50.0,0.85,70.0,2.72,129.0,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006.0,1297.0,859.0,2941.0,2199.0,213.0,1.0,19.0,515.0,615.0,708.0,554.0,Large Population
3,36001000401,Albany County,1,2227,1017,0,575.0,25.82,0,0,0,0,1,0,7.7,99514.0,1,1,1,1,1,0,0,1,505.0,1522.0,505.0,111.0,334.0,111.0,1522.0,68.35,334.0,15.0,111.0,5.0,556.0,24.94,1300.0,58.38,143.0,6.44,48.0,2.14,0.0,0.0,1.0,0.05,30.0,1.35,37.0,1.66,100.0,9.85,4.0,0.35,505.0,22.67,111.0,4.97,37.0,1.67,153.0,6.85,433.0,19.43,46.0,2.05,15.0,0.69,0.0,0.0,1.0,0.04,10.0,0.44,13.0,0.6,36.0,3.55,1.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.0,149.0,1088.0,1921.0,205.0,56.0,0.0,2.0,43.0,53.0,139.0,5.0,Medium Population
4,36001000403,Albany County,1,4415,2196,0,15.0,0.34,0,0,0,0,1,0,12.3,115391.0,0,1,0,1,0,0,0,1,371.0,1429.0,371.0,87.0,259.0,87.0,1429.0,32.36,259.0,5.86,175.0,3.96,233.0,5.27,1180.0,26.73,134.0,3.03,64.0,1.45,1.0,0.02,0.0,0.0,50.0,1.13,75.0,1.7,152.0,6.94,96.0,4.38,371.0,8.41,87.0,1.96,49.0,1.12,58.0,1.32,328.0,7.43,12.0,0.27,16.0,0.37,0.0,0.0,0.0,0.0,15.0,0.33,24.0,0.54,44.0,1.98,24.0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.0,531.0,679.0,3386.0,427.0,443.0,1.0,5.0,153.0,201.0,437.0,286.0,Large Population
5,36001000404,Albany County,1,5203,12,1,5177.0,99.5,0,0,0,0,0,0,0.0,,1,1,1,1,1,0,0,0,1708.0,5203.0,1708.0,0.0,0.0,0.0,5203.0,100.0,0.0,0.0,10.0,0.19,5.0,0.1,3594.0,69.08,777.0,14.93,376.0,7.23,10.0,0.19,12.0,0.23,434.0,8.34,647.0,12.44,0.0,0.0,0.0,0.0,1708.0,32.82,0.0,0.0,3.0,0.05,0.0,0.0,1179.0,22.67,243.0,4.66,130.0,2.5,4.0,0.08,4.0,0.07,148.0,2.85,224.0,4.31,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,5.0,3594.0,777.0,376.0,10.0,12.0,434.0,647.0,0.0,0.0,Large Population
6,36001000501,Albany County,1,3412,1559,0,117.0,3.43,0,0,0,0,0,1,27.3,52031.0,0,0,0,0,0,0,0,0,,140.0,,,92.0,,140.0,4.12,92.0,2.71,17.0,0.5,3.0,0.1,103.0,3.01,27.0,0.79,4.0,0.1,0.0,0.0,0.0,0.01,7.0,0.2,11.0,0.33,35.0,2.23,26.0,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.0,685.0,320.0,1800.0,1115.0,149.0,0.0,21.0,327.0,377.0,613.0,645.0,Large Population
7,36001000502,Albany County,1,3448,872,0,1660.0,48.14,0,1,0,0,0,1,21.8,84224.0,0,1,0,1,0,0,0,0,,939.0,,,608.0,,939.0,27.24,608.0,17.63,12.0,0.35,1.0,0.03,655.0,19.0,138.0,3.99,88.0,2.56,0.0,0.0,2.0,0.06,56.0,1.62,97.0,2.81,2.0,0.19,1.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.0,358.0,148.0,2563.0,477.0,223.0,0.0,5.0,180.0,276.0,119.0,71.0,Large Population
8,36001000600,Albany County,1,3676,1409,0,143.0,3.89,0,1,0,1,1,1,46.3,42769.0,0,1,0,1,0,0,0,1,,3542.0,,,2644.0,,3542.0,96.35,2644.0,71.93,749.0,20.38,135.0,3.67,1548.0,42.11,1302.0,35.43,294.0,7.99,1.0,0.02,18.0,0.48,379.0,10.31,378.0,10.29,571.0,40.54,642.0,45.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762.0,783.0,141.0,1586.0,1339.0,310.0,1.0,21.0,419.0,419.0,590.0,670.0,Large Population
9,36001000700,Albany County,1,3821,1413,0,14.0,0.37,0,1,0,1,1,1,34.1,31305.0,0,1,0,1,0,0,0,1,138.0,3821.0,138.0,71.0,2346.0,71.0,3821.0,100.0,2346.0,61.39,1273.0,33.32,302.0,7.9,455.0,11.91,2990.0,78.25,23.0,0.6,3.0,0.08,8.0,0.21,342.0,8.95,383.0,10.02,544.0,38.5,508.0,35.98,138.0,3.62,71.0,1.86,38.0,1.0,12.0,0.32,16.0,0.42,112.0,2.93,2.0,0.05,0.0,0.0,0.0,0.01,8.0,0.21,9.0,0.23,14.0,0.99,21.0,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.0,1273.0,302.0,455.0,2990.0,23.0,3.0,8.0,342.0,383.0,532.0,521.0,Large Population
