,Tract,County,Urban,Total_Population,Housing_Units,High_Share_Group,Total_Group_Quarters,Percent_Group_Quarters,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,Low_Income_Flag,Total_Poverty_Rate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,Total_Low_Income,Total_Kids,Total_Seniors,Total_White,Total_Black,Total_Asian,Total_NHOPI,Total_AIAN,Total_OMulti,Total_Hispanic,Total_No_Vehicle,Total_SNAP,Population_Size
0,36001000100,Albany,1,2139,784,0,79,3.69,1,1,1,1,1,1,32.5,45515,1,1,1,1,1,0,0,1,2139,2139,2139,1246,1246,1246,2139,100,1246,58.26,644,30.11,218,10.19,506,23.66,1396,65.26,55,2.57,0,0,9,0.42,173,8.09,198,9.26,172,21.94,259,32.97,2139,100,1246,58.26,644,30.11,218,10.19,506,23.66,1396,65.26,55,2.57,0,0,9,0.42,173,8.09,198,9.26,172,21.94,259,32.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183,644,218,506,1396,55,0,9,173,198,179,276,Medium Population
1,36001000200,Albany,1,6046,2514,0,84,1.39,1,1,1,1,1,1,34.4,39545,1,1,1,1,1,0,0,1,2981,5948,2981,2042,3389,2042,5948,98.38,3389,56.05,1917,31.71,398,6.58,815,13.47,4588,75.88,55,0.91,0,0,11,0.18,480,7.93,635,10.51,1070,42.58,1113,44.27,2981,49.31,2042,33.77,1068,17.66,195,3.23,394,6.52,2298,38.01,21,0.36,0,0,3,0.05,264,4.37,372,6.15,612,24.36,556,22.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501,1946,401,840,4647,57,0,12,490,648,895,960,Large Population
2,36001000300,Albany,1,5888,2581,0,193,3.28,1,1,1,1,1,1,27,45384,1,1,1,1,1,0,0,1,1151,2847,1151,189,1013,189,2847,48.36,1013,17.2,496,8.42,583,9.89,1731,29.4,797,13.54,132,2.24,0,0,5,0.09,181,3.08,242,4.1,255,9.89,292,11.3,1151,19.55,189,3.21,103,1.75,325,5.52,886,15.05,152,2.58,80,1.36,0,0,1,0.02,32,0.54,50,0.85,70,2.72,129,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006,1297,859,2941,2199,213,1,19,515,615,708,554,Large Population
3,36001000401,Albany,1,2227,1017,0,575,25.82,0,0,0,0,1,0,7.7,99514,1,1,1,1,1,0,0,1,505,1522,505,111,334,111,1522,68.35,334,15,111,5,556,24.94,1300,58.38,143,6.44,48,2.14,0,0,1,0.05,30,1.35,37,1.66,100,9.85,4,0.35,505,22.67,111,4.97,37,1.67,153,6.85,433,19.43,46,2.05,15,0.69,0,0,1,0.04,10,0.44,13,0.6,36,3.55,1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,149,1088,1921,205,56,0,2,43,53,139,5,Medium Population
4,36001000403,Albany,1,4415,2196,0,15,0.34,0,0,0,0,1,0,12.3,115391,0,1,0,1,0,0,0,1,371,1429,371,87,259,87,1429,32.36,259,5.86,175,3.96,233,5.27,1180,26.73,134,3.03,64,1.45,1,0.02,0,0,50,1.13,75,1.7,152,6.94,96,4.38,371,8.41,87,1.96,49,1.12,58,1.32,328,7.43,12,0.27,16,0.37,0,0,0,0,15,0.33,24,0.54,44,1.98,24,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,531,679,3386,427,443,1,5,153,201,437,286,Large Population
5,36001000404,Albany,1,5203,12,1,5177,99.5,0,0,0,0,0,0,0,,1,1,1,1,1,0,0,0,1708,5203,1708,0,0,0,5203,100,0,0,10,0.19,5,0.1,3594,69.08,777,14.93,376,7.23,10,0.19,12,0.23,434,8.34,647,12.44,0,0,0,0,1708,32.82,0,0,3,0.05,0,0,1179,22.67,243,4.66,130,2.5,4,0.08,4,0.07,148,2.85,224,4.31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,5,3594,777,376,10,12,434,647,0,0,Large Population
6,36001000501,Albany,1,3412,1559,0,117,3.43,0,0,0,0,0,1,27.3,52031,0,0,0,0,0,0,0,0,,140,,,92,,140,4.12,92,2.71,17,0.5,3,0.1,103,3.01,27,0.79,4,0.1,0,0,0,0.01,7,0.2,11,0.33,35,2.23,26,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684,685,320,1800,1115,149,0,21,327,377,613,645,Large Population
7,36001000502,Albany,1,3448,872,0,1660,48.14,0,1,0,0,0,1,21.8,84224,0,1,0,1,0,0,0,0,,939,,,608,,939,27.24,608,17.63,12,0.35,1,0.03,655,19,138,3.99,88,2.56,0,0,2,0.06,56,1.62,97,2.81,2,0.19,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,358,148,2563,477,223,0,5,180,276,119,71,Large Population
8,36001000600,Albany,1,3676,1409,0,143,3.89,0,1,0,1,1,1,46.3,42769,0,1,0,1,0,0,0,1,,3542,,,2644,,3542,96.35,2644,71.93,749,20.38,135,3.67,1548,42.11,1302,35.43,294,7.99,1,0.02,18,0.48,379,10.31,378,10.29,571,40.54,642,45.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762,783,141,1586,1339,310,1,21,419,419,590,670,Large Population
9,36001000700,Albany,1,3821,1413,0,14,0.37,0,1,0,1,1,1,34.1,31305,0,1,0,1,0,0,0,1,138,3821,138,71,2346,71,3821,100,2346,61.39,1273,33.32,302,7.9,455,11.91,2990,78.25,23,0.6,3,0.08,8,0.21,342,8.95,383,10.02,544,38.5,508,35.98,138,3.62,71,1.86,38,1,12,0.32,16,0.42,112,2.93,2,0.05,0,0,0,0.01,8,0.21,9,0.23,14,0.99,21,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272,1273,302,455,2990,23,3,8,342,383,532,521,Large Population
10,36001000800,Albany,1,2393,1015,0,118,4.93,0,1,0,1,1,1,44.9,26707,0,1,0,1,0,0,0,1,,1957,,,1506,,1957,81.8,1506,62.92,553,23.1,193,8.08,526,21.97,1223,51.13,31,1.28,1,0.02,6,0.25,171,7.15,271,11.32,492,48.47,450,44.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642,642,268,665,1427,54,3,7,237,330,528,476,Medium Population
11,36001001100,Albany,1,1169,705,0,147,12.57,0,1,0,1,1,1,36.8,45104,0,1,0,1,0,0,0,1,137,1102,137,84,681,84,1102,94.26,681,58.25,109,9.34,206,17.61,438,37.48,476,40.76,88,7.53,0,0,7,0.59,92,7.9,117,9.99,377,53.44,283,40.16,137,11.69,84,7.22,16,1.38,12,1.04,66,5.66,59,5.05,0,0,0,0,0,0,11,0.97,14,1.21,21,3,16,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,124,208,462,510,88,0,7,102,127,475,357,Medium Population
12,36001001400,Albany,1,3560,2404,0,31,0.87,0,0,0,0,0,0,19.5,81528,0,0,0,0,0,0,0,0,,44,,,18,,44,1.25,18,0.49,3,0.08,2,0.06,28,0.8,8,0.22,1,0.04,0,0,0,0,7,0.19,7,0.19,11,0.48,3,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466,178,272,2863,353,155,4,6,179,216,1002,283,Large Population
13,36001001500,Albany,1,4606,2228,0,39,0.85,0,1,0,1,1,1,26.3,42568,0,1,0,1,0,0,0,1,,4144,,,2400,,4144,89.96,2400,52.1,362,7.85,327,7.11,3021,65.59,607,13.18,278,6.03,0,0,9,0.19,229,4.98,273,5.93,614,27.55,420,18.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,386,355,3364,657,318,0,12,255,308,682,466,Large Population
14,36001001600,Albany,1,4273,1768,0,233,5.45,0,1,0,0,0,1,26.4,102763,0,1,0,1,0,0,0,0,,2141,,,706,,2141,50.11,706,16.53,338,7.91,175,4.1,1654,38.71,271,6.34,98,2.3,1,0.03,6,0.13,112,2.61,139,3.26,69,3.92,92,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523,565,284,3267,543,210,2,12,239,291,255,183,Large Population
15,36001001700,Albany,1,4021,1824,0,145,3.61,0,0,0,0,0,0,13.7,89554,0,1,0,1,0,0,0,0,120,1827,120,36,434,36,1827,45.45,434,10.79,300,7.47,302,7.51,1412,35.11,233,5.79,91,2.26,0,0,4,0.09,88,2.2,88,2.19,80,4.4,102,5.61,120,2.97,36,0.89,15,0.37,50,1.25,87,2.16,18,0.44,9,0.23,0,0,0,0,6,0.15,4,0.09,3,0.18,4,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,602,521,3088,496,229,1,15,192,235,329,255,Large Population
16,36001001801,Albany,1,6579,3246,0,105,1.6,0,0,0,0,1,0,5,134509,1,1,1,1,1,0,0,1,4449,6543,4449,963,1270,963,6543,99.45,1270,19.31,897,13.64,1599,24.31,5652,85.92,434,6.59,330,5.02,2,0.03,5,0.07,120,1.83,209,3.18,317,9.77,113,3.49,4449,67.63,963,14.63,596,9.06,1101,16.74,3780,57.46,350,5.32,226,3.44,2,0.03,1,0.01,90,1.37,133,2.02,271,8.34,78,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287,903,1605,5684,435,330,2,5,123,213,324,119,Large Population
17,36001001802,Albany,1,3816,1973,0,16,0.42,0,0,0,0,1,0,11.3,81406,1,1,1,1,1,0,0,1,3576,3816,3576,826,874,826,3816,100,874,22.91,478,12.53,844,22.12,3176,83.23,291,7.63,211,5.53,18,0.47,3,0.08,117,3.07,132,3.46,141,7.13,190,9.61,3576,93.7,826,21.64,452,11.85,805,21.08,2997,78.54,275,7.2,184,4.82,2,0.04,3,0.08,115,3.02,125,3.27,137,6.93,178,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,478,844,3176,291,211,18,3,117,132,142,187,Large Population
18,36001001901,Albany,1,2607,1148,0,23,0.88,0,0,0,0,0,0,8,114258,0,1,0,1,0,0,0,0,33,2607,33,2,282,2,2607,100,282,10.81,411,15.77,336,12.89,2237,85.81,197,7.56,76,2.92,0,0,5,0.19,92,3.53,106,4.07,36,3.15,35,3.01,33,1.25,2,0.08,6,0.21,5,0.19,29,1.12,1,0.04,1,0.04,0,0,0,0,1,0.05,2,0.07,0,0.02,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,411,336,2237,197,76,0,5,92,106,40,37,Medium Population
19,36001001902,Albany,1,2581,1131,0,5,0.19,0,0,0,0,0,0,7.3,92946,0,1,0,1,0,0,0,0,410,1652,410,50,219,50,1652,63.99,219,8.48,306,11.87,306,11.86,1380,53.45,139,5.38,76,2.96,0,0,0,0.02,56,2.18,65,2.52,26,2.26,26,2.27,410,15.9,50,1.92,82,3.17,82,3.17,349,13.54,23,0.9,21,0.82,0,0,0,0,17,0.65,13,0.5,6,0.54,6,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,483,465,2110,252,134,0,1,84,103,38,36,Medium Population
20,36001002000,Albany,1,5771,2414,0,25,0.43,0,1,0,0,0,1,22.6,50170,0,1,0,1,0,0,0,0,,1119,,,526,,1119,19.38,526,9.11,243,4.21,99,1.71,565,9.78,384,6.65,60,1.05,0,0,13,0.23,96,1.67,123,2.13,92,3.83,65,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,1317,533,2906,1998,268,2,38,559,671,504,321,Large Population
21,36001002100,Albany,1,3773,1251,0,1037,27.48,0,1,0,0,0,1,26,64625,0,1,0,1,0,0,0,0,,1166,,,408,,1166,30.91,408,10.82,152,4.03,23,0.62,873,23.15,105,2.78,131,3.46,1,0.02,1,0.03,55,1.47,43,1.13,42,3.35,36,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,640,140,2168,854,496,1,16,238,230,353,270,Large Population
22,36001002200,Albany,1,2344,1366,0,20,0.85,0,0,0,0,0,1,19.4,57109,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091,310,153,1472,604,116,1,6,145,201,509,278,Medium Population
23,36001002300,Albany,1,2051,1020,0,42,2.05,0,1,0,1,1,1,34.7,62545,0,1,0,1,0,0,0,1,,2049,,,1203,,2049,99.89,1203,58.67,464,22.62,153,7.45,699,34.08,1076,52.45,62,3.02,2,0.1,11,0.54,199,9.7,254,12.38,405,39.7,401,39.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249,464,155,701,1076,62,2,11,199,254,405,408,Medium Population
24,36001002500,Albany,1,2872,1311,0,95,3.31,0,1,0,1,1,1,52.2,15711,0,1,0,1,0,0,0,1,,2872,,,2405,,2872,100,2405,83.74,836,29.11,156,5.43,597,20.79,1872,65.18,33,1.15,0,0,21,0.73,349,12.15,492,17.13,867,66.12,852,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862,836,156,597,1872,33,0,21,349,492,887,898,Medium Population
